name,battingStyle,Batting Avg,Strike rate,bowlingStyle,Bowling Average,Economy,team
MohitRathee,Right hand Bat,0,50,Legbreak,0,14.5,Punjab Kings
SwapnilSingh,Right hand Bat,0,50,Slow Left arm Orthodox,0,9,Super Giants
TabraizShamsi,Right hand Bat,0,50,Left arm Wrist spin,0,8.5,Royals
YudhvirSingh,Right hand Bat,0.5,50,Right arm Medium fast,23.333333333333332,8.75,Super Giants
VarunChakravarthy,Right hand Bat,7.5,48.38709677419355,Legbreak Googly,27.477272727272727,7.572025052192068,KKR
PrasidhKrishna,Right hand Bat,3,46.15384615384615,Right arm Fast medium,29.096774193548388,8.59047619047619,KKR
YuzvendraChahal,Right hand Bat,15,42.857142857142854,Legbreak Googly,20.196969696969695,7.668264621284755,RCB
SachinBaby,Left hand Bat,7,41.17647058823529,Right arm Offbreak,,,RCB
PradeepSangwan,Right hand Bat,2,40,Left arm Medium,21.666666666666668,7.222222222222222,Titans
WayneParnell,Left hand Bat,2,40,Left arm Medium fast,26.22222222222222,9.37748344370861,RCB
TimSouthee,Right hand Bat,1,29.411764705882355,Right arm Medium fast,23.63157894736842,8.471698113207546,KKR
JagadeeshaSuchith,Left hand Bat,1,25,Slow Left arm Orthodox,26.428571428571427,8.80952380952381,Sunrisers
KhaleelAhmed,Right hand Bat,0.3333333333333333,25,Left arm Fast medium,26.433333333333334,8.332749562171628,Sunrisers
FazalhaqFarooqi,Right hand Bat,0,23.076923076923077,Left arm Fast medium,37.833333333333336,8.960526315789474,Sunrisers
DarshanNalkande,Right hand Bat,0,0,Right arm Fast medium,34.333333333333336,11.236363636363636,Titans
DhawalKulkarni,Right hand Bat,0,0,Right arm Medium,0,12,Mumbai
KamleshNagarkoti,Right hand Bat,0,0,Right arm Fast,0,13.5,KKR
KMAsif,Right hand Bat,0,0,Right arm Medium,39,9.649484536082474,Super Kings
KuldeepSen,Right hand Bat,0,0,Right arm Fast,33.125,9.408284023668639,Royals
KuldipYadav,Left hand Bat,0,0,Left arm Fast medium,42,9.333333333333334,Royals
MohitSharma,Right hand Bat,0,0,Right arm Medium,13.37037037037037,8.173584905660379,Titans
RileyMeredith,Right hand Bat,0,0,Right arm Fast,32.21052631578947,9.463917525773196,Punjab Kings
SanjayYadav,Left hand Bat,0,0,Slow Left arm Orthodox,0,11.5,Mumbai
ShahbazNadeem,Right hand Bat,0,0,Slow Left arm Orthodox,36,9,Sunrisers
TNatarajan,Left hand Bat,0,0,Left arm Medium,29.5,9.21875,Sunrisers
TusharDeshpande,Left hand Bat,0,0,Right arm Medium,28.454545454545453,9.962864721485412,Super Kings
TymalMills,Right hand Bat,0,0,Left arm Fast,31.666666666666668,11.176470588235293,Mumbai
YashDayal,Right hand Bat,0,0,Left arm Medium fast,35.46153846153846,10.021739130434783,Titans
AkashMadhwal,Right hand Bat,,,Right arm Medium fast,15.642857142857142,8.588235294117647,Mumbai
AkashSingh,Right hand Bat,,,Left arm Medium fast,45.4,9.869565217391305,Royals
AndrewTye,Right hand Bat,,,Right arm Medium fast,53.5,9.727272727272727,Super Giants
BasilThampi,Right hand Bat,,,Right arm Fast medium,30.4,9.5,Mumbai
DuanJansen,Right hand Bat,,,Left arm Fast,53,13.25,Mumbai
GurnoorBrar,Left hand Bat,,,Right arm Fast,0,14,Punjab Kings
HimanshuSharma,Right hand Bat,,,Legbreak,0,9.333333333333334,RCB
ImranTahir,Right hand Bat,,,Legbreak Googly,8,4,Super Kings
IshanPorel,Right hand Bat,,,Right arm Medium,39,9.75,Punjab Kings
JalajSaxena,Right hand Bat,,,"Right arm Offbreak, Legbreak Googly",0,9,Punjab Kings
JoshLittle,Right hand Bat,,,Left arm Fast medium,42,8.647058823529411,Titans
KaneRichardson,Right hand Bat,,,Right arm Fast medium,29,9.666666666666666,RCB
KulwantKhejroliya,Left hand Bat,,,Left arm Medium fast,32,14.76923076923077,KKR
LukmanMeriwala,Left hand Bat,,,Left arm Fast medium,32,10.666666666666666,Capitals
LungiNgidi,Right hand Bat,,,Right arm Fast medium,25,10.416666666666666,Super Kings
MatheeshaPathirana,Right hand Bat,,,Right arm Fast,21.105263157894736,8.046822742474916,Super Kings
MayankDagar,Right hand Bat,,,Slow Left arm Orthodox,83,7.545454545454546,Sunrisers
NitishKumarReddy,Right hand Bat,,,Right arm Medium fast,0,10.8,Sunrisers
PrashantSolanki,Right hand Bat,,,Legbreak,19,6.333333333333333,Super Kings
RaghavGoyal,Left hand Bat,,,Left arm Wrist spin,0,8.25,Mumbai
RajvardhanHangargekar,Right hand Bat,,,Right arm Fast medium,20,10,Super Kings
ReeceTopley,Right hand Bat,,,Left arm Fast medium,14,7,RCB
SaiKishore,Left hand Bat,,,Slow Left arm Orthodox,20.166666666666668,7.5625,Titans
SandeepWarrier,Right hand Bat,,,Right arm Medium,0,7.5,KKR
SisandaMagala,Right hand Bat,,,Right arm Fast medium,51,8.5,Super Kings
SuyashSharma,Right hand Bat,,,Legbreak Googly,32.1,8.23076923076923,KKR
VarunAaron,Right hand Bat,,,Right arm Fast,26,10.4,Titans
YashThakur,Right hand Bat,,,Right arm Fast medium,22.23076923076923,9.078534031413612,Super Giants
